,y
0,1
1,0
2,0
3,1
4,0
5,0
6,1
7,0
8,1
9,0
10,1
11,0
12,1
13,0
14,1
15,1
16,0
17,0
18,1
19,1
20,1
21,0
22,0
23,1
24,1
25,0
26,0
27,1
28,0
29,1
30,1
31,0
32,0
33,0
34,1
35,0
36,0
37,1
38,0
39,1
40,0
41,1
42,0
43,1
44,1
45,0
46,0
47,1
48,1
49,1
50,1
51,1
52,1
53,0
54,1
55,1
56,1
57,0
58,0
59,1
60,1
61,1
62,0
63,0
64,0
65,1
66,1
67,0
68,0
69,1
70,0
71,0
72,1
73,0
74,0
75,1
76,0
77,0
78,0
79,1
80,0
81,0
82,0
83,1
84,1
85,1
86,0
87,0
88,1
89,1
90,1
91,1
92,0
93,1
94,0
95,1
96,0
97,1
98,0
99,0
100,0
101,1
102,0
103,0
104,1
105,1
106,0
107,0
108,1
109,1
110,1
111,1
112,0
113,1
114,0
115,1
116,0
117,1
118,1
119,0
120,0
121,0
122,1
123,0
124,1
125,1
126,0
127,1
128,1
129,1
130,0
131,1
132,0
133,1
134,0
135,1
136,1
137,0
138,1
139,1
140,0
141,0
142,1
143,1
144,1
145,0
146,0
147,0
148,1
149,0
150,1
151,0
152,0
153,1
154,0
155,0
156,0
157,1
158,1
159,0
160,0
161,1
162,1
163,1
164,0
165,1
166,0
167,0
168,0
169,1
170,0
171,0
172,1
173,0
174,1
175,0
176,0
177,0
178,1
179,1
180,0
181,0
182,1
183,0
184,0
185,0
186,1
187,1
188,0
189,0
190,0
191,1
192,1
193,0
194,0
195,0
196,0
197,1
198,1
199,1
200,1
201,0
202,0
203,1
204,1
205,0
206,0
207,0
208,0
209,0
210,1
211,1
212,0
213,0
214,0
215,1
216,1
217,0
218,0
219,1
220,1
221,0
222,1
223,1
224,0
225,1
226,1
227,0
228,0
229,0
230,1
231,0
232,1
233,1
234,1
235,0
236,1
237,1
238,1
239,1
240,1
241,1
242,0
243,1
244,1
245,0
246,1
247,1
248,0
249,0
250,1
251,1
252,1
253,0
254,1
255,0
256,0
257,0
258,1
259,0
260,1
261,1
262,0
263,1
264,0
265,1
266,1
267,0
268,0
269,0
270,0
271,1
272,1
273,0
274,1
275,1
276,0
277,1
278,1
279,0
280,0
281,0
282,1
283,1
284,0
285,1
286,0
287,0
288,0
289,1
290,0
291,0
292,0
293,1
294,1
295,0
296,0
297,1
298,1
299,1
300,1
301,1
302,1
303,0
304,1
305,0
306,1
307,0
308,1
309,0
310,1
311,0
312,0
313,1
314,1
315,1
316,0
317,1
318,1
319,0
320,0
321,0
322,1
323,0
324,1
325,1
326,0
327,0
328,1
329,0
330,0
331,1
332,0
333,0
334,1
335,1
336,0
337,0
338,1
339,1
340,1
341,0
342,0
343,0
344,1
345,0
346,0
347,0
348,1
349,0
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,0
359,0
360,1
361,0
362,1
363,0
364,0
365,1
366,0
367,0
368,0
369,0
370,1
371,0
372,0
373,0
374,0
375,1
376,0
377,1
378,1
379,1
380,1
381,1
382,0
383,0
384,1
385,1
386,0
387,1
388,1
389,1
390,1
391,0
392,0
393,0
394,0
395,0
396,1
397,1
398,1
399,1
400,1
401,1
402,0
403,1
404,0
405,0
406,0
407,1
408,0
409,0
410,1
411,0
412,1
413,0
414,0
415,0
416,1
417,1
418,1
419,1
420,0
421,0
422,0
423,0
424,0
425,1
426,1
427,0
428,0
429,0
430,0
431,0
432,0
433,1
434,0
435,1
436,1
437,1
438,0
439,1
440,1
441,1
442,0
443,0
444,1
445,0
446,1
447,0
448,0
449,0
450,1
451,1
452,1
453,1
454,0
455,0
456,1
457,1
458,1
459,1
460,1
461,0
462,0
463,1
464,0
465,1
466,0
467,0
468,1
469,0
470,0
471,0
472,0
473,0
474,1
475,1
476,0
477,1
478,0
479,0
480,1
481,0
482,0
483,0
484,1
485,0
486,1
487,0
488,1
489,1
490,1
491,1
492,1
493,0
494,1
495,1
496,0
497,0
498,1
499,0
500,1
501,0
502,1
503,0
504,1
505,1
506,1
507,0
508,0
509,1
510,1
511,1
512,1
513,1
514,0
515,0
516,0
517,0
518,0
519,0
520,1
521,1
522,1
523,0
524,1
525,1
526,0
527,1
528,0
529,1
530,1
531,1
532,0
533,1
534,1
535,1
536,1
537,1
538,0
539,0
540,1
541,1
542,0
543,0
544,1
545,0
546,0
547,1
548,1
549,0
550,1
551,0
552,0
553,1
554,1
555,1
556,0
557,1
558,1
559,1
560,0
561,1
562,0
563,0
564,1
565,0
566,1
567,1
568,1
569,0
570,1
571,1
572,0
573,1
574,1
575,0
576,1
577,0
578,1
579,0
580,0
581,1
582,1
583,1
584,0
585,0
586,0
587,1
588,1
589,0
590,1
591,0
592,1
593,1
594,1
595,1
596,1
597,0
598,1
599,0
600,1
601,1
602,1
603,0
604,1
605,1
606,1
607,1
608,1
609,0
610,1
611,1
612,0
613,1
614,0
615,0
616,1
617,1
618,1
619,1
620,0
621,1
622,0
623,0
624,0
625,1
626,0
627,0
628,0
629,0
630,1
631,0
632,0
633,1
634,1
635,0
636,0
637,1
638,1
639,0
640,1
641,1
642,0
643,0
644,1
645,0
646,0
647,0
648,1
649,0
650,1
651,0
652,1
653,1
654,0
655,0
656,1
657,1
658,0
659,0
660,1
661,1
662,1
663,0
664,0
665,1
666,0
667,0
668,0
669,0
670,0
671,0
672,1
673,1
674,0
675,0
676,0
677,1
678,1
679,0
680,1
681,1
682,1
683,0
684,0
685,0
686,1
687,1
688,0
689,0
690,1
691,1
692,1
693,0
694,0
695,0
696,1
697,1
698,1
699,1
700,0
701,1
702,0
703,0
704,0
705,1
706,1
707,0
708,1
709,0
710,0
711,0
712,0
713,1
714,0
715,0
716,1
717,0
718,0
719,0
720,0
721,0
722,1
723,1
724,1
725,1
726,1
727,1
728,0
729,1
730,0
731,1
732,1
733,0
734,0
735,1
736,1
737,0
738,0
739,1
740,1
741,1
742,1
743,0
744,0
745,1
746,0
747,0
748,1
749,0
750,1
751,0
752,0
753,0
754,1
755,1
756,0
757,1
758,1
759,0
760,1
761,1
762,0
763,1
764,0
765,0
766,0
767,1
768,0
769,0
770,1
771,0
772,0
773,1
774,1
775,0
776,1
777,1
778,0
779,0
780,1
781,1
782,0
783,1
784,1
785,1
786,0
787,1
788,0
789,1
790,1
791,1
792,0
793,0
794,1
795,0
796,0
797,0
798,0
799,1
800,1
801,1
802,0
803,0
804,0
805,0
806,1
807,1
808,0
809,1
810,1
811,1
812,0
813,1
814,0
815,1
816,0
817,1
818,0
819,1
820,1
821,1
822,1
823,1
824,1
825,0
826,1
827,1
828,1
829,0
830,0
831,0
832,1
833,0
834,0
835,1
836,1
837,1
838,1
839,1
840,1
841,0
842,1
843,0
844,1
845,0
846,0
847,1
848,1
849,1
850,0
851,0
852,1
853,0
854,0
855,0
856,0
857,1
858,0
859,1
860,1
861,1
862,1
863,0
864,1
865,0
866,1
867,1
868,0
869,1
870,0
871,0
872,0
873,1
874,1
875,1
876,1
877,1
878,0
879,0
880,0
881,0
882,1
883,1
884,0
885,0
886,1
887,0
888,0
889,1
890,0
891,1
892,0
893,1
894,1
895,1
896,1
897,1
898,1
899,0
900,1
901,0
902,1
903,0
904,0
905,0
906,1
907,0
908,1
909,0
910,1
911,1
912,0
913,0
914,1
915,1
916,1
917,0
918,1
919,0
920,0
921,1
922,0
923,1
924,1
925,1
926,0
927,0
928,1
929,1
930,1
931,0
932,1
933,1
934,0
935,1
936,0
937,0
938,1
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,1
948,1
949,0
950,1
951,1
952,0
953,0
954,1
955,0
956,1
957,1
958,1
959,1
960,1
961,0
962,0
963,0
964,0
965,1
966,0
967,1
968,0
969,1
970,0
971,0
972,0
973,0
974,1
975,1
976,1
977,1
978,1
979,1
980,1
981,1
982,0
983,1
984,0
985,1
986,1
987,0
988,0
989,1
990,0
991,1
992,0
993,0
994,0
995,0
996,0
997,0
998,1
999,1
1000,1
1001,0
1002,0
1003,0
1004,0
1005,1
1006,0
1007,1
1008,0
1009,1
1010,0
1011,1
1012,1
1013,0
1014,0
1015,0
1016,1
1017,0
1018,1
1019,1
1020,0
1021,0
1022,1
1023,1
1024,0
1025,1
1026,1
1027,1
1028,1
1029,1
1030,1
1031,1
1032,0
1033,0
1034,0
1035,1
1036,1
1037,0
1038,1
1039,0
1040,1
1041,0
1042,0
1043,0
1044,0
1045,1
1046,1
1047,1
1048,0
1049,0
1050,0
1051,1
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,1
1060,1
1061,0
1062,0
1063,0
1064,0
1065,1
1066,1
1067,1
1068,0
1069,1
1070,0
1071,1
1072,1
1073,1
1074,1
1075,1
1076,0
1077,1
1078,0
1079,1
1080,0
1081,1
1082,0
1083,0
1084,0
1085,1
1086,1
1087,0
1088,0
1089,1
1090,0
1091,1
1092,1
1093,1
1094,0
1095,1
1096,1
1097,0
1098,1
1099,1
1100,1
1101,1
1102,0
1103,1
1104,0
1105,1
1106,1
1107,1
1108,1
1109,0
1110,1
1111,0
1112,1
1113,1
1114,1
1115,0
1116,1
1117,1
1118,0
1119,1
1120,0
1121,0
1122,0
1123,0
1124,0
1125,1
1126,1
1127,0
1128,1
1129,0
1130,0
1131,0
1132,1
1133,1
1134,0
1135,1
1136,1
1137,0
1138,1
1139,0
1140,1
1141,1
1142,0
1143,0
1144,1
1145,1
1146,0
1147,1
1148,1
1149,0
1150,1
1151,0
1152,1
1153,0
1154,1
1155,1
1156,1
1157,0
1158,1
1159,1
1160,0
1161,1
1162,1
1163,0
1164,1
1165,1
1166,1
1167,0
1168,1
1169,0
1170,1
1171,1
1172,0
1173,1
1174,0
1175,0
1176,1
1177,0
1178,0
1179,1
1180,1
1181,0
1182,1
1183,1
1184,0
1185,0
1186,1
1187,0
1188,1
1189,0
1190,1
1191,0
1192,1
1193,1
1194,0
1195,0
1196,1
1197,0
1198,0
1199,0
1200,0
1201,0
1202,1
1203,0
1204,1
1205,0
1206,0
1207,1
1208,0
1209,0
1210,1
1211,1
1212,0
1213,0
1214,1
1215,1
1216,1
1217,0
1218,0
1219,0
1220,1
1221,0
1222,1
1223,0
1224,1
1225,1
1226,1
1227,1
1228,0
1229,0
1230,0
